mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,manufacturer,brand
13,8,400,170,4746,12,71,American,"	ford country squire (sw)","	ford","	ford"
13,8,360,170,4654,13,73,American,"	plymouth custom suburb","	plymouth","	plymouth"
16,8,400,170,4668,11.5,75,American,"	pontiac catalina","	pontiac","	pontiac"
15.5,8,350,170,4165,11.4,77,American,"	chevrolet monte carlo landau","	chevrolet","	chevrolet"
12,8,400,167,4906,12.5,73,American,"	ford country","	ford","	ford"
15,8,350,165,3693,11.5,70,American,"	buick skylark 320","	buick","	buick"
14,8,350,165,4209,12,71,American,"	chevrolet impala","	chevrolet","	chevrolet"
13,8,350,165,4274,12,72,American,"	chevrolet impala","	chevrolet","	chevrolet"
17.7,6,231,165,3445,13.4,78,American,"	buick regal sport coupe (turbo)","	buick","	buick"
14,8,340,160,3609,8,70,American,"	plymouth 'cuda 340","	plymouth","	plymouth"
12,8,350,160,4456,13.5,72,American,"	oldsmobile delta 88 royale","	oldsmobile","	oldsmobile"
13,8,351,158,4363,13,73,American,"	ford ltd","	ford","	ford"
13,8,350,155,4502,13.5,72,American,"	buick lesabre custom","	buick","	buick"
16.9,8,350,155,4360,14.9,79,American,"	buick estate wagon (sw)","	buick","	buick"
14,8,351,153,4154,13.5,71,American,"	ford galaxie 500","	ford","	ford"
14,8,351,153,4129,13,72,American,"	ford galaxie 500","	ford","	ford"
14.5,8,351,152,4215,12.8,76,American,"	ford gran torino","	ford","	ford"
18,8,318,150,3436,11,70,American,"	plymouth satellite","	plymouth","	plymouth"
16,8,304,150,3433,12,70,American,"	amc rebel sst","	amc","	amc"
15,8,400,150,3761,9.5,70,American,"	chevrolet monte carlo","	chevrolet","	chevrolet"
14,8,318,150,4096,13,71,American,"	plymouth fury iii","	plymouth","	plymouth"
15,8,318,150,4135,13.5,72,American,"	plymouth fury iii","	plymouth","	plymouth"
17,8,304,150,3672,11.5,72,American,"	amc ambassador sst","	amc","	amc"
15,8,304,150,3892,12.5,72,American,"	amc matador (sw)","	amc","	amc"
14,8,318,150,4077,14,72,American,"	plymouth satellite custom (sw)","	plymouth","	plymouth"
14,8,304,150,3672,11.5,73,American,"	amc matador","	amc","	amc"
15,8,318,150,3777,12.5,73,American,"	dodge coronet custom","	dodge","	dodge"
13,8,400,150,4464,12,73,American,"	chevrolet caprice classic","	chevrolet","	chevrolet"
14,8,318,150,4237,14.5,73,American,"	plymouth fury gran sedan","	plymouth","	plymouth"
11,8,400,150,4997,14,73,American,"	chevrolet impala","	chevrolet","	chevrolet"
15,8,318,150,3399,11,73,American,"	dodge dart custom","	dodge","	dodge"
13,8,350,150,4699,14.5,74,American,"	buick century luxus (sw)","	buick","	buick"
14,8,318,150,4457,13.5,74,American,"	dodge coronet custom (sw)","	dodge","	dodge"
14,8,304,150,4257,15.5,74,American,"	amc matador (sw)","	amc","	amc"
16,8,318,150,4498,14.5,75,American,"	plymouth grand fury","	plymouth","	plymouth"
16,8,318,150,4190,13,76,American,"	dodge coronet brougham","	dodge","	dodge"
13,8,318,150,3940,13.2,76,American,"	plymouth volare premier v8","	plymouth","	plymouth"
13,8,318,150,3755,14,76,American,"	dodge d100","	dodge","	dodge"
18.5,8,360,150,3940,13,79,American,"	chrysler lebaron town @ country (s","	chrysler","	chrysler"
16,8,351,149,4335,14.5,77,American,"	ford thunderbird","	ford","	ford"
14,8,351,148,4657,13.5,75,American,"	ford ltd","	ford","	ford"
13,8,350,145,3988,13,73,American,"	chevrolet malibu","	chevrolet","	chevrolet"
15,8,350,145,4082,13,73,American,"	chevrolet monte carlo s","	chevrolet","	chevrolet"
15,8,350,145,4440,14,75,American,"	chevrolet bel air","	chevrolet","	chevrolet"
13,8,350,145,4055,12,76,American,"	chevy c10","	chevy","	chevy"
17.5,8,305,145,3880,12.5,77,American,"	chevrolet caprice classic","	chevrolet","	chevrolet"
15.5,8,318,145,4140,13.7,77,American,"	dodge monaco brougham","	dodge","	dodge"
19.2,8,305,145,3425,13.2,78,American,"	chevrolet monte carlo landau","	chevrolet","	chevrolet"
15.5,8,351,142,4054,14.3,79,American,"	ford country squire (sw)","	ford","	ford"
17,8,302,140,3449,10.5,70,American,"	ford torino","	ford","	ford"
13,8,302,140,4294,16,72,American,"	ford gran torino (sw)","	ford","	ford"
16,8,302,140,4141,14,74,American,"	ford gran torino","	ford","	ford"
14,8,302,140,4638,16,74,American,"	ford gran torino (sw)","	ford","	ford"
17.5,8,305,140,4215,13,76,American,"	chevrolet chevelle malibu classic","	chevrolet","	chevrolet"
19.4,8,318,140,3735,13.2,78,American,"	dodge diplomat","	dodge","	dodge"
17.5,8,318,140,4080,13.7,78,American,"	dodge magnum xe","	dodge","	dodge"
20.2,8,302,139,3570,12.8,78,American,"	mercury monarch ghia","	mercury","	mercury"
18.1,8,302,139,3205,11.2,78,American,"	ford futura","	ford","	ford"
16.5,8,351,138,3955,13.2,79,American,"	mercury grand marquis","	mercury","	mercury"
14,8,302,137,4042,14.5,73,American,"	ford gran torino","	ford","	ford"
18.2,8,318,135,3830,15.2,79,American,"	dodge st. regis","	dodge","	dodge"
16.2,6,163,133,3410,15.8,78,European,"	peugeot 604sl","	peugeot","	peugeot"
32.7,6,168,132,2910,11.4,80,Japanese,"	datsun 280-zx","	datsun","	datsun"
18,8,307,130,3504,12,70,American,"	chevrolet chevelle malibu","	chevrolet","	chevrolet"
13,8,307,130,4098,14,72,American,"	chevrolet chevelle concours (sw)","	chevrolet","	chevrolet"
13,8,302,130,3870,15,76,American,"	ford f108","	ford","	ford"
15,8,302,130,4295,14.9,77,American,"	mercury cougar brougham","	mercury","	mercury"
17,8,305,130,3840,15.4,79,American,"	chevrolet caprice classic","	chevrolet","	chevrolet"
13,8,302,129,3169,12,75,American,"	ford mustang ii","	ford","	ford"
17.6,8,302,129,3725,13.4,79,American,"	ford ltd landau","	ford","	ford"
17,6,163,125,3140,13.6,78,European,"	volvo 264gl","	volvo","	volvo"
19.2,8,267,125,3605,15,79,American,"	chevrolet malibu classic (sw)","	chevrolet","	chevrolet"
23,8,350,125,3900,17.4,79,American,"	cadillac eldorado","	cadillac","	cadillac"
20,6,156,122,2807,13.5,73,Japanese,"	toyota mark ii","	toyota","	toyota"
15.5,8,304,120,3962,13.9,76,American,"	amc matador","	amc","	amc"
16.5,6,168,120,3820,16.7,76,European,"	mercedes-benz 280s","	mercedes-benz","	mercedes-benz"
18.1,6,258,120,3410,15.1,78,American,"	amc concord d/l","	amc","	amc"
24.2,6,146,120,2930,13.8,81,Japanese,"	datsun 810 maxima","	datsun","	datsun"
25.4,6,168,116,2900,12.6,81,Japanese,"	toyota cressida","	toyota","	toyota"
25,4,121,115,2671,13.5,75,European,"	saab 99le","	saab","	saab"
21.6,4,121,115,2795,15.7,78,European,"	saab 99gle","	saab","	saab"
21.5,6,231,115,3245,15.4,79,American,"	pontiac lemans v6","	pontiac","	pontiac"
28.8,6,173,115,2595,11.3,79,American,"	chevrolet citation","	chevrolet","	chevrolet"
26.8,6,173,115,2700,12.9,79,American,"	oldsmobile omega brougham","	oldsmobile","	oldsmobile"
26,4,121,113,2234,12.5,70,European,"	bmw 2002","	bmw","	bmw"
18,4,121,112,2933,14.5,72,European,"	volvo 145e (sw)","	volvo","	volvo"
19,4,121,112,2868,15.5,73,European,"	volvo 144ea","	volvo","	volvo"
22,6,232,112,2835,14.7,82,American,"	ford granada l","	ford","	ford"
18,6,258,110,2962,13.5,71,American,"	amc hornet sportabout (sw)","	amc","	amc"
24,4,121,110,2660,14,73,European,"	saab 99le","	saab","	saab"
16,6,258,110,3632,18,74,American,"	amc matador","	amc","	amc"
17,6,231,110,3907,21,75,American,"	buick century","	buick","	buick"
15,6,258,110,3730,19,75,American,"	amc matador","	amc","	amc"
21,6,231,110,3039,15,75,American,"	buick skyhawk","	buick","	buick"
20,8,262,110,3221,13.5,75,American,"	chevrolet monza 2+2","	chevrolet","	chevrolet"
18.5,6,250,110,3645,16.2,76,American,"	pontiac ventura sj","	pontiac","	pontiac"
17,8,260,110,4060,19,77,American,"	oldsmobile cutlass supreme","	oldsmobile","	oldsmobile"
17.5,6,250,110,3520,16.4,77,American,"	chevrolet concours","	chevrolet","	chevrolet"
21.5,4,121,110,2600,12.8,77,European,"	bmw 320i","	bmw","	bmw"
21.5,3,80,110,2720,13.5,77,Japanese,"	mazda rx-4","	mazda","	mazda"
19.9,8,260,110,3365,15.5,78,American,"	oldsmobile cutlass salon brougham","	oldsmobile","	oldsmobile"
18.6,6,225,110,3620,18.7,78,American,"	dodge aspen","	dodge","	dodge"
20.6,6,225,110,3360,16.6,79,American,"	dodge aspen 6","	dodge","	dodge"
23.5,6,173,110,2725,12.6,81,American,"	chevrolet citation","	chevrolet","	chevrolet"
22.4,6,231,110,3415,15.8,81,American,"	buick century","	buick","	buick"
25,6,181,110,2945,16.4,82,American,"	buick century limited","	buick","	buick"
19,6,156,108,2930,15.5,76,Japanese,"	toyota mark ii","	toyota","	toyota"
21,6,155,107,2472,14,73,American,"	mercury capri v6","	mercury","	mercury"
16,6,225,105,3439,15.5,71,American,"	plymouth satellite custom","	plymouth","	plymouth"
18,6,225,105,3121,16.5,73,American,"	plymouth valiant","	plymouth","	plymouth"
18,6,225,105,3613,16.5,74,American,"	plymouth satellite sebring","	plymouth","	plymouth"
18,6,250,105,3459,16,75,American,"	chevrolet nova","	chevrolet","	chevrolet"
16,6,250,105,3897,18.5,75,American,"	chevroelt chevelle malibu","	chevroelt","	chevroelt"
22,6,250,105,3353,14.5,76,American,"	chevrolet nova","	chevrolet","	chevrolet"
20.5,6,231,105,3425,16.9,77,American,"	buick skylark","	buick","	buick"
19.2,6,231,105,3535,19.2,78,American,"	pontiac phoenix lj","	pontiac","	pontiac"
20.6,6,231,105,3380,15.8,78,American,"	buick century special","	buick","	buick"
23.2,4,156,105,2745,16.7,78,American,"	plymouth sapporo","	plymouth","	plymouth"
27.9,4,156,105,2800,14.4,80,American,"	dodge colt","	dodge","	dodge"
26.6,8,350,105,3725,19,81,American,"	oldsmobile cutlass ls","	oldsmobile","	oldsmobile"
20.3,5,131,103,2830,15.9,78,European,"	audi 5000","	audi","	audi"
20,4,130,102,3150,15.7,76,European,"	volvo 245","	volvo","	volvo"
19,6,232,100,2634,13,71,American,"	amc gremlin","	amc","	amc"
17,6,250,100,3329,15.5,71,American,"	chevrolet chevelle malibu","	chevrolet","	chevrolet"
18,6,232,100,3288,15.5,71,American,"	amc matador","	amc","	amc"
19,6,250,100,3282,15,71,American,"	pontiac firebird","	pontiac","	pontiac"
16,6,250,100,3278,18,73,American,"	chevrolet nova custom","	chevrolet","	chevrolet"
18,6,232,100,2945,16,73,American,"	amc hornet","	amc","	amc"
18,6,232,100,2789,15,73,American,"	amc gremlin","	amc","	amc"
19,6,232,100,2901,16,74,American,"	amc hornet","	amc","	amc"
15,6,250,100,3336,17,74,American,"	chevrolet nova","	chevrolet","	chevrolet"
16,6,250,100,3781,17,74,American,"	chevrolet chevelle malibu classic","	chevrolet","	chevrolet"
20,6,232,100,2914,16,75,American,"	amc gremlin","	amc","	amc"
22,6,225,100,3233,15.4,76,American,"	plymouth valiant","	plymouth","	plymouth"
20,6,225,100,3651,17.7,76,American,"	dodge aspen se","	dodge","	dodge"
19,6,225,100,3630,17.7,77,American,"	plymouth volare custom","	plymouth","	plymouth"
20.5,6,225,100,3430,17.2,78,American,"	plymouth volare","	plymouth","	plymouth"
23.7,3,70,100,2420,12.5,80,Japanese,"	mazda rx-7 gs","	mazda","	mazda"
32.9,4,119,100,2615,14.8,81,Japanese,"	datsun 200sx","	datsun","	datsun"
22,4,121,98,2945,14.5,75,European,"	volvo 244dl","	volvo","	volvo"
18.5,6,250,98,3525,19,77,American,"	ford granada","	ford","	ford"
18,6,199,97,2774,15.5,70,American,"	amc hornet","	amc","	amc"
19,3,70,97,2330,13.5,72,Japanese,"	mazda rx2 coupe","	mazda","	mazda"
23,4,120,97,2506,14.5,72,Japanese,"	toyouta corona mark ii (sw)","	toyouta","	toyouta"
24,4,120,97,2489,15,74,Japanese,"	honda civic","	honda","	honda"
24,4,119,97,2545,17,75,Japanese,"	datsun 710","	datsun","	datsun"
18,6,171,97,2984,14.5,75,American,"	ford pinto","	ford","	ford"
22,6,146,97,2815,14.5,77,Japanese,"	datsun 810","	datsun","	datsun"
27.2,4,119,97,2300,14.7,78,Japanese,"	datsun 510","	datsun","	datsun"
23.9,4,119,97,2405,14.9,78,Japanese,"	datsun 200-sx","	datsun","	datsun"
24,4,134,96,2702,13.5,75,Japanese,"	toyota corona","	toyota","	toyota"
25.5,4,122,96,2300,15.5,77,American,"	plymouth arrow gs","	plymouth","	plymouth"
32,4,144,96,2665,13.9,82,Japanese,"	toyota celica gt","	toyota","	toyota"
24,4,113,95,2372,15,70,Japanese,"	toyota corona mark ii","	toyota","	toyota"
22,6,198,95,2833,15.5,70,American,"	plymouth duster","	plymouth","	plymouth"
25,4,104,95,2375,17.5,70,European,"	saab 99e","	saab","	saab"
25,4,113,95,2228,14,71,Japanese,"	toyota corona","	toyota","	toyota"
24,4,113,95,2278,15.5,72,Japanese,"	toyota corona hardtop","	toyota","	toyota"
23,6,198,95,2904,16,73,American,"	plymouth duster","	plymouth","	plymouth"
20,6,198,95,3102,16.5,74,American,"	plymouth duster","	plymouth","	plymouth"
19,6,225,95,3264,16,75,American,"	plymouth valiant custom","	plymouth","	plymouth"
18,6,225,95,3785,19,75,American,"	plymouth fury","	plymouth","	plymouth"
23,4,115,95,2694,15,75,European,"	audi 100ls","	audi","	audi"
17.5,6,258,95,3193,17.8,76,American,"	amc pacer d/l","	amc","	amc"
20.5,6,200,95,3155,18.2,78,American,"	chevrolet malibu","	chevrolet","	chevrolet"
27.5,4,134,95,2560,14.2,78,Japanese,"	toyota corona","	toyota","	toyota"
21.1,4,134,95,2515,14.8,78,Japanese,"	toyota celica gt liftback","	toyota","	toyota"
22,4,108,94,2379,16.5,73,Japanese,"	datsun 610","	datsun","	datsun"
26,4,108,93,2391,15.5,74,Japanese,"	subaru",subaru,subaru
28,4,97,92,2288,17,72,Japanese,"	datsun 510 (sw)","	datsun","	datsun"
25,4,140,92,2572,14.9,76,American,"	capri ii","	capri","	capri"
37,4,119,92,2434,15,80,Japanese,"	datsun 510 hatchback","	datsun","	datsun"
25.8,4,156,92,2620,14.4,81,American,"	dodge aries wagon (sw)","	dodge","	dodge"
24,4,140,92,2865,16.4,82,American,"	ford fairmont futura","	ford","	ford"
26,4,156,92,2585,14.5,82,American,"	chrysler lebaron medallion","	chrysler","	chrysler"
20,4,114,91,2582,14,73,European,"	audi 100ls","	audi","	audi"
24,4,107,90,2430,14.5,70,European,"	audi 100 ls","	audi","	audi"
21,6,199,90,2648,15,70,American,"	amc gremlin","	amc","	amc"
28,4,140,90,2264,15.5,71,American,"	chevrolet vega 2300","	chevrolet","	chevrolet"
28,4,116,90,2123,14,71,European,"	opel 1900","	opel","	opel"
20,4,140,90,2408,19.5,72,American,"	chevrolet vega","	chevrolet","	chevrolet"
18,3,70,90,2124,13.5,73,Japanese,"	maxda rx3","	maxda","	maxda"
26,4,98,90,2265,15.5,73,European,"	fiat 124 sport coupe","	fiat","	fiat"
19,6,232,90,3211,17,75,American,"	amc pacer","	amc","	amc"
22.5,6,232,90,3085,17.6,76,American,"	amc hornet","	amc","	amc"
19.4,6,232,90,3210,17.2,78,American,"	amc concord","	amc","	amc"
20.2,6,232,90,3265,18.2,79,American,"	amc concord dl 6","	amc","	amc"
23.9,8,260,90,3420,22.2,79,American,"	oldsmobile cutlass salon brougham","	oldsmobile","	oldsmobile"
28.4,4,151,90,2670,16,79,American,"	buick skylark limited","	buick","	buick"
33.5,4,151,90,2556,13.2,79,American,"	pontiac phoenix","	pontiac","	pontiac"
28,4,151,90,2678,16.5,80,American,"	chevrolet citation","	chevrolet","	chevrolet"
24.3,4,151,90,3003,20.1,80,American,"	amc concord","	amc","	amc"
19.1,6,225,90,3381,18.7,80,American,"	dodge aspen","	dodge","	dodge"
29.8,4,134,90,2711,15.5,80,Japanese,"	toyota corona liftback","	toyota","	toyota"
27,4,151,90,2735,18,82,American,"	pontiac phoenix","	pontiac","	pontiac"
27,4,151,90,2950,17.3,82,American,"	chevrolet camaro","	chevrolet","	chevrolet"
25.5,4,140,89,2755,15.8,77,American,"	ford mustang ii 2+2","	ford","	ford"
27,4,97,88,2130,14.5,70,Japanese,"	datsun pl510","	datsun","	datsun"
27,4,97,88,2130,14.5,71,Japanese,"	datsun pl510","	datsun","	datsun"
19,6,250,88,3302,15.5,71,American,"	ford torino 500","	ford","	ford"
18,6,250,88,3139,14.5,71,American,"	ford mustang","	ford","	ford"
27,4,97,88,2100,16.5,72,Japanese,"	toyota corolla 1600 (sw)","	toyota","	toyota"
18,6,250,88,3021,16.5,73,American,"	ford maverick","	ford","	ford"
20,4,97,88,2279,19,73,Japanese,"	toyota carina","	toyota","	toyota"
23,4,120,88,2957,17,75,European,"	peugeot 504","	peugeot","	peugeot"
19,4,120,88,3270,21.9,76,European,"	peugeot 504","	peugeot","	peugeot"
24.5,4,151,88,2740,16,77,American,"	pontiac sunbird coupe","	pontiac","	pontiac"
25.1,4,140,88,2720,15.4,78,American,"	ford fairmont (man)","	ford","	ford"
22.3,4,140,88,2890,17.3,79,American,"	ford fairmont 4","	ford","	ford"
26.4,4,140,88,2870,18.1,80,American,"	ford fairmont","	ford","	ford"
35,4,122,88,2500,15.1,80,European,"	triumph tr7 coupe","	triumph","	triumph"
20.2,6,200,88,3060,17.1,81,American,"	ford granada gl","	ford","	ford"
28,4,112,88,2605,19.6,82,American,"	chevrolet cavalier","	chevrolet","	chevrolet"
27,4,112,88,2640,18.6,82,American,"	chevrolet cavalier wagon","	chevrolet","	chevrolet"
34,4,112,88,2395,18,82,American,"	chevrolet cavalier 2-door","	chevrolet","	chevrolet"
36,4,120,88,2160,14.5,82,Japanese,"	nissan stanza xe","	nissan","	nissan"
25,4,110,87,2672,17.5,70,European,"	peugeot 504","	peugeot","	peugeot"
21,4,120,87,2979,19.5,72,European,"	peugeot 504 (sw)","	peugeot","	peugeot"
23,4,122,86,2220,14,71,American,"	mercury capri 2000","	mercury","	mercury"
21,4,122,86,2226,16.5,72,American,"	ford pinto runabout","	ford","	ford"
22,4,122,86,2395,16,72,American,"	ford pinto (sw)","	ford","	ford"
28,4,107,86,2464,15.5,76,European,"	fiat 131","	fiat","	fiat"
27,4,140,86,2790,15.6,82,American,"	ford mustang gl","	ford","	ford"
21,6,200,85,2587,16,70,American,"	ford maverick","	ford","	ford"
19,4,122,85,2310,18.5,73,American,"	ford pinto","	ford","	ford"
20.2,6,200,85,2965,15.8,78,American,"	ford fairmont (auto)","	ford","	ford"
20.8,6,200,85,3070,16.7,78,American,"	mercury zephyr","	mercury","	mercury"
23.8,4,151,85,2855,17.6,78,American,"	oldsmobile starfire sx","	oldsmobile","	oldsmobile"
19.8,6,200,85,2990,18.2,79,American,"	mercury zephyr 6","	mercury","	mercury"
17.6,6,225,85,3465,16.6,81,American,"	chrysler lebaron salon","	chrysler","	chrysler"
31,4,112,85,2575,16.2,82,American,"	pontiac j2000 se hatchback","	pontiac","	pontiac"
38,6,262,85,3015,17,82,American,"	oldsmobile cutlass ciera (diesel)","	oldsmobile","	oldsmobile"
27.2,4,135,84,2490,15.7,81,American,"	plymouth reliant","	plymouth","	plymouth"
26.6,4,151,84,2635,16.4,81,American,"	buick skylark","	buick","	buick"
30,4,135,84,2385,12.9,81,American,"	plymouth reliant","	plymouth","	plymouth"
29,4,135,84,2525,16,82,American,"	dodge aries se","	dodge","	dodge"
36,4,135,84,2370,13,82,American,"	dodge charger 2.2","	dodge","	dodge"
32,4,135,84,2295,11.6,82,American,"	dodge rampage","	dodge","	dodge"
29,4,98,83,2219,16.5,74,European,"	audi fox","	audi","	audi"
23,4,140,83,2639,17,75,American,"	ford pinto","	ford","	ford"
27,4,101,83,2202,15.3,76,European,"	renault 12tl","	renault","	renault"
33.5,4,98,83,2075,15.9,77,American,"	dodge colt m/m","	dodge","	dodge"
31,4,119,82,2720,19.4,82,American,"	chevy s-10","	chevy","	chevy"
25,4,116,81,2220,16.9,76,European,"	opel 1900","	opel","	opel"
24,6,200,81,3012,17.6,76,American,"	ford maverick","	ford","	ford"
25,4,97.5,80,2126,17,72,American,"	dodge colt hardtop","	dodge","	dodge"
28,4,98,80,2164,15,72,American,"	dodge colt (sw)","	dodge","	dodge"
26,4,122,80,2451,16.5,74,American,"	ford pinto","	ford","	ford"
30,4,111,80,2155,14.8,77,American,"	buick opel isuzu deluxe","	buick","	buick"
35.7,4,98,80,1915,14.4,79,American,"	dodge colt hatchback custom","	dodge","	dodge"
27.4,4,121,80,2670,15,79,American,"	amc spirit dl","	amc","	amc"
28.1,4,141,80,3230,20.4,81,European,"	peugeot 505s turbo diesel","	peugeot","	peugeot"
26,4,98,79,2255,17.7,76,American,"	dodge colt","	dodge","	dodge"
28,4,120,79,2625,18.6,82,American,"	ford ranger","	ford","	ford"
26,4,97,78,2300,14.5,74,European,"	opel manta","	opel","	opel"
23,4,140,78,2592,18.5,75,American,"	pontiac astro","	pontiac","	pontiac"
18,6,250,78,3574,21,76,American,"	ford granada ghia","	ford","	ford"
29,4,97,78,1940,14.5,77,European,"	volkswagen rabbit custom","	volkswagen","	volkswagen"
30.5,4,97,78,2190,14.1,77,European,"	volkswagen dasher","	volkswagen","	volkswagen"
34.3,4,97,78,2188,15.8,80,European,"	audi 4000","	audi","	audi"
25.4,5,183,77,3530,20.1,79,European,"	mercedes benz 300d","	mercedes","	mercedes"
30,4,88,76,2065,14.5,71,European,"	fiat 124b","	fiat","	fiat"
22,4,121,76,2511,18,72,European,"	volkswagen 411 (sw)","	volkswagen","	volkswagen"
41.5,4,98,76,2144,14.7,80,European,"	vw rabbit","	vw","	vw"
30.7,6,145,76,3160,19.6,81,European,"	volvo diesel","	volvo","	volvo"
24,4,116,75,2158,15.5,73,European,"	opel manta","	opel","	opel"
25,4,140,75,2542,17,74,American,"	chevrolet vega","	chevrolet","	chevrolet"
28,4,90,75,2125,14.5,74,American,"	dodge colt","	dodge","	dodge"
24,4,90,75,2108,15.5,74,European,"	fiat 128","	fiat","	fiat"
26,4,116,75,2246,14,74,European,"	fiat 124 tc","	fiat","	fiat"
29,4,97,75,2171,16,75,Japanese,"	toyota corolla","	toyota","	toyota"
28,4,97,75,2155,16.4,76,Japanese,"	toyota corolla","	toyota","	toyota"
26,4,97,75,2265,18.2,77,Japanese,"	toyota corolla liftback","	toyota","	toyota"
30.9,4,105,75,2230,14.5,78,American,"	dodge omni","	dodge","	dodge"
31.3,4,120,75,2542,17.5,80,Japanese,"	mazda 626","	mazda","	mazda"
32.2,4,108,75,2265,15.2,80,Japanese,"	toyota corolla","	toyota","	toyota"
33.7,4,107,75,2210,14.4,81,Japanese,"	honda prelude","	honda","	honda"
32.4,4,108,75,2350,16.8,81,Japanese,"	toyota corolla","	toyota","	toyota"
36,4,107,75,2205,14.5,82,Japanese,"	honda accord","	honda","	honda"
33,4,105,74,2190,14.2,81,European,"	volkswagen jetta","	volkswagen","	volkswagen"
31.6,4,120,74,2635,18.3,81,Japanese,"	mazda 626","	mazda","	mazda"
36,4,105,74,1980,15.3,82,European,"	volkswagen rabbit l","	volkswagen","	volkswagen"
22,4,140,72,2408,19,71,American,"	chevrolet vega (sw)","	chevrolet","	chevrolet"
21,4,140,72,2401,19.5,73,American,"	chevrolet vega","	chevrolet","	chevrolet"
15,6,250,72,3432,21,75,American,"	mercury monarch","	mercury","	mercury"
15,6,250,72,3158,19.5,75,American,"	ford maverick","	ford","	ford"
26.5,4,140,72,2565,13.6,76,American,"	ford pinto","	ford","	ford"
32.4,4,107,72,2290,17,80,Japanese,"	honda accord","	honda","	honda"
25,4,90,71,2223,16.5,75,European,"	volkswagen dasher","	volkswagen","	volkswagen"
29.5,4,97,71,1825,12.2,76,European,"	volkswagen rabbit","	volkswagen","	volkswagen"
31.5,4,89,71,1990,14.9,78,European,"	volkswagen scirocco","	volkswagen","	volkswagen"
31.9,4,89,71,1925,14,79,European,"	vw rabbit custom","	vw","	vw"
27.2,4,141,71,3190,24.8,79,European,"	peugeot 504","	peugeot","	peugeot"
30,4,79,70,2074,19.5,71,European,"	peugeot 304","	peugeot","	peugeot"
26,4,91,70,1955,20.5,71,American,"	plymouth cricket","	plymouth","	plymouth"
29,4,90,70,1937,14,75,European,"	volkswagen rabbit","	volkswagen","	volkswagen"
29,4,90,70,1937,14.2,76,European,"	vw rabbit","	vw","	vw"
32,4,85,70,1990,17,76,Japanese,"	datsun b-210","	datsun","	datsun"
33.5,4,85,70,1945,16.8,77,Japanese,"	datsun f-10 hatchback","	datsun","	datsun"
39.4,4,85,70,2070,18.6,78,Japanese,"	datsun b210 gx","	datsun","	datsun"
34.2,4,105,70,2200,13.2,79,American,"	plymouth horizon","	plymouth","	plymouth"
34.5,4,105,70,2150,14.9,79,American,"	plymouth horizon tc3","	plymouth","	plymouth"
32.1,4,98,70,2120,15.5,80,American,"	chevrolet chevette","	chevrolet","	chevrolet"
36,4,98,70,2125,17.3,82,American,"	mercury lynx l","	mercury","	mercury"
34,4,108,70,2245,16.9,82,Japanese,"	toyota corolla","	toyota","	toyota"
35,4,72,69,1613,18,71,Japanese,"	datsun 1200","	datsun","	datsun"
